!!!SBtab Document='eQuilibrator thermodynamic data' SBtabVersion='1.0' Date='2019-12-12',,,,,,,,
!!SBtab TableID='ReactionGFE' TableType='Quantity' TableName='Reaction table of transformed energies' SBtabVersion='1.0' Date='2019-12-12' Unit='kJ/mol' IonicStrengthUnit='M' TemperatureUnit='K',,,,,,,,
!QuantityType,!Identifiers:kegg.reaction,!Unit,!Mean,!Std,!pH,!IonicStrength,!Temperature,!Comment
standard Gibbs energy of formation,R00302,kJ/mol,-126.5,8.9,7,0.1,298.15,
standard Gibbs energy of formation,R00303,kJ/mol,-9.1,0.9,7,0.1,298.15,
standard Gibbs energy of formation,R00304,kJ/mol,-16.6,1.6,7,0.1,298.15,
standard Gibbs energy of formation,R00305,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00306,kJ/mol,-12.9,3.7,7,0.1,298.15,
standard Gibbs energy of formation,R00307,kJ/mol,-0.1,0.6,7,0.1,298.15,
standard Gibbs energy of formation,R00310,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00311,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00312,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00313,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00314,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00315,kJ/mol,13.4,1.1,7,0.1,298.15,
standard Gibbs energy of formation,R00316,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00317,kJ/mol,-39.8,1.3,7,0.1,298.15,
standard Gibbs energy of formation,R00318,kJ/mol,-82.3,13.8,7,0.1,298.15,
standard Gibbs energy of formation,R00319,kJ/mol,-497.7,8.8,7,0.1,298.15,
standard Gibbs energy of formation,R00320,kJ/mol,24,1.3,7,0.1,298.15,
standard Gibbs energy of formation,R00321,kJ/mol,-22.8,4.6,7,0.1,298.15,
standard Gibbs energy of formation,R00322,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00324,kJ/mol,-57.3,4.1,7,0.1,298.15,
standard Gibbs energy of formation,R00325,kJ/mol,2.2,2.3,7,0.1,298.15,
standard Gibbs energy of formation,R00326,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00327,kJ/mol,-28.5,4.6,7,0.1,298.15,
standard Gibbs energy of formation,R00328,kJ/mol,-23,2.4,7,0.1,298.15,
standard Gibbs energy of formation,R00329,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00330,kJ/mol,-2.5,2.6,7,0.1,298.15,
standard Gibbs energy of formation,R00331,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00332,kJ/mol,-3.4,2.4,7,0.1,298.15,
standard Gibbs energy of formation,R00333,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00334,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00335,kJ/mol,-23.9,2.7,7,0.1,298.15,
standard Gibbs energy of formation,R00336,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00337,kJ/mol,-26.9,6.6,7,0.1,298.15,
standard Gibbs energy of formation,R00338,kJ/mol,-51.1,6.7,7,0.1,298.15,
